x                   	y                   
-------------------------------
45.632              	795.3638            
47.656              	41.3145             
49.026              	132.0644            
49.809              	1870.338            
50.854              	4186.936            
51.898              	1632.738            
52.942              	716.989             
53.725              	304.4893            
54.835              	392.7642            
55.748              	353.9893            
56.923              	324.2893            
58.032              	292.9393            
58.946              	23.16451            
60.055              	52.03949            
60.903              	866.3137            
61.817              	1764.738            
63.839              	1834.863            
64.883              	2126.913            
65.861              	1648.413            
66.905              	494.2391            
67.884              	427.4142            
68.927              	246.7393            
69.775              	188.9893            
71.08               	252.5143            
71.797              	151.0394            
73.819              	1282.938            
74.863              	3448.562            
75.841              	3304.187            
76.884              	5278.41             
77.797              	3088.037            
78.906              	803.6138            
79.819              	989.2386            
80.862              	542.9141            
81.905              	429.8892            
82.949              	219.5144            
83.796              	79.26447            
84.905              	91.63945            
85.687              	19.86452            
86.73               	160.9394            
87.838              	1270.563            
88.816              	735.1389            
89.859              	1706.988            
90.902              	2305.113            
91.88               	2935.412            
92.857              	855.5887            
93.835              	337.4893            
94.813              	289.6393            
95.856              	53.6895             
96.898              	169.1894            
97.746              	41.3145             
98.919              	123.8144            
99.961              	101.5395            
101.004             	94.93946            
101.851             	548.6891            
102.893             	1412.463            
103.871             	1791.138            
104.848             	1094.014            
105.825             	312.7393            
106.803             	226.1143            
107.845             	537.139             
108.888             	261.5894            
109.8               	58.63949            
110.907             	144.4394            
111.949             	32.23951            
114.946             	90.81446            
115.857             	103.1895            
116.834             	760.7139            
117.876             	1832.388            
118.984             	864.6638            
119.895             	1403.388            
120.872             	295.4143            
121.849             	80.91446            
123.021             	160.1144            
123.998             	56.16449            
124.779             	213.7394            
126.016             	92.46445            
126.733             	45.4395             
128.946             	34.71451            
129.858             	99.88944            
130.899             	92.46445            
131.876             	1003.264            
132.917             	597.364             
133.959             	308.6143            
134.87              	225.2894            
135.912             	523.9391            
136.953             	717.8139            
138.059             	146.9144            
138.906             	310.2643            
140.402             	33.06451            
140.988             	50.3895             
143.071             	23.98952            
145.153             	88.33946            
145.999             	35.53951            
146.91              	109.7894            
147.951             	503.3141            
148.927             	1491.663            
149.903             	635.314             
151.009             	160.9394            
152.115             	14.91452            
152.961             	101.5395            
155.107             	33.8895             
155.888             	49.56449            
157.904             	68.53947            
161.026             	14.91452            
161.677             	42.9645             
163.108             	377.0892            
163.953             	852.2888            
164.928             	306.1393            
165.904             	386.1642            
166.944             	762.3638            
167.92              	137.0144            
169.09              	66.88948            
170.976             	15.73952            
173.446             	14.08953            
174.031             	24.81452            
176.827             	92.46445            
177.932             	438.9642            
178.972             	590.764             
180.012             	110.6144            
180.922             	61.11449            
181.962             	67.71449            
183.001             	221.1643            
185.016             	52.03949            
186.121             	135.3644            
187.616             	52.03949            
191.059             	118.0394            
193.918             	9712.781            
194.893             	1046.164            
195.932             	353.9893            
196.972             	1037.089            
197.816             	38.83951            
198.791             	26.46451            
202.103             	17.38952            
202.753             	36.36451            
203.987             	52.86449            
207.039             	200.5394            
207.949             	87.51446            
208.923             	574.264             
209.897             	139.4894            
210.871             	254.9893            
211.91              	1325.838            
212.884             	284.6893            
217.493             	61.93948            
218.922             	75.96448            
219.96              	9.96453             
222.881             	25.63951            
223.855             	1444.638            
224.893             	1055.239            
225.932             	780.5138            
226.841             	274.7893            
227.879             	49.56449            
228.528             	89.98946            
230.605             	33.8895             
235.796             	45.4395             
237.028             	59.46449            
241.764             	1561.788            
242.867             	917.4637            
243.905             	170.8394            
248.056             	22.33952            
259.015             	38.83951            
264.979             	27.28952            
267.701             	70.18948            
268.738             	78.43948            
269.84              	63.58949            
280.921             	207.1394            
282.8               	38.0145             
288.695             	16.56453            
294.783             	32.23951            
298.603             	10.78953            
327.081             	36.36451            
339.176             	9.96453             
340.598             	36.36451            
356.889             	19.03952            
370.846             	13.26453            
377.629             	17.38952            
380.406             	44.6145             
