scanname 扫描021
timestamp 1/1/1970 01:19
scancount 1
laserwavenum 850.5
measurementstate Unknown
scanmode Identification
snr 16.43 16.43 16.43
replacelist 0
peaks 8
785.928 0.610405 0 2.09753 0.000555889
865.609 0.168569 0 3.1769 0.000168619
1005.44 0.678667 0 11.2027 0.00059093
1088.5 0.512899 0 2.11345 0.000184413
1257.07 0.277343 0 42.778 0.00147453
1411.95 0.039976 0 1.71823 6.86065e-05
1538.6 0.0285275 0 0.677647 4.66347e-05
2961.65 0.0983475 0 12.1249 0.000434966
finalresult Unknown match 1A15594	0.0479482
spectrum 2048
0 4.00594
2.86447 3.74313
5.72895 0.472445
8.59342 -1.25308
11.4579 -2.39986
14.3224 2.09482
17.1868 -2.73494
20.0513 -0.946267
22.9158 0.29227
25.7803 -0.902643
28.6447 -0.756491
31.5092 -2.78408
34.3737 -2.29361
37.2382 0.166805
40.1026 -1.40233
42.9671 -0.669614
45.8316 0.494388
48.696 3.06838
51.5605 0.416126
54.425 -1.82445
57.2895 -2.25953
60.1539 -0.849724
63.0184 0.28281
65.8829 3.31608
68.7474 -1.80722
71.6118 1.11668
74.4763 -0.268182
77.3408 2.27083
80.2053 3.74167
83.0697 2.65967
85.9342 -2.07952
88.7987 -1.81296
91.6632 3.36538
94.5276 -0.827982
97.3921 -1.41124
100.257 2.37709
103.121 0.192486
105.986 -0.626037
108.85 2.12535
111.714 0.865342
114.579 -0.241933
117.443 -2.17554
120.308 -0.309182
123.172 6.21823
126.037 1.41357
128.901 0.39702
131.766 -2.38914
134.63 1.02799
137.495 9.22536
140.359 0.588747
143.224 -1.29869
146.088 4.71807
148.953 0.506874
151.817 0.757306
154.682 6.38289
157.546 5.51763
160.411 -0.619145
163.275 -0.963172
166.139 -1.32077
169.004 1.96037
171.868 0.447607
174.733 -1.05266
177.597 1.72747
180.462 0.751727
183.326 1.58576
186.191 -1.22734
189.055 -0.0775653
191.92 3.63591
194.784 -0.429658
197.649 -0.872685
200.513 4.78774
203.378 4.18384
206.242 4.70071
209.107 6.43973
211.971 16.5605
214.836 7.36523
217.7 3.8899
220.564 -0.489331
223.429 -0.414042
226.293 3.42924
229.158 10.3655
232.022 3.83672
234.887 1.63612
237.751 1.41895
240.616 2.76034
243.48 4.88787
246.345 9.17044
249.209 6.03401
252.074 2.78776
254.938 -0.945994
257.803 -2.04967
260.667 0.295037
263.532 5.75243
266.396 -0.0588504
269.26 0.115961
272.125 -0.47804
274.989 4.30095
277.854 0.732024
280.718 -1.03263
283.583 -3.10059
286.447 -2.87764
289.312 1.81784
292.176 3.24844
295.041 4.41315
297.905 1.62544
300.77 0.785755
303.634 0.0186265
306.499 -1.17191
309.363 0.736196
312.228 -2.073
315.092 -2.39985
317.957 1.40149
320.821 0.231363
323.686 3.89674
326.55 1.21959
329.414 2.81756
332.279 -0.139319
335.143 1.16217
338.008 2.77599
340.872 3.70975
343.737 3.30401
346.601 0.52369
349.466 0.0179252
352.33 2.03468
355.195 -1.09652
358.059 -2.2458
360.924 5.20287
363.788 -1.42007
366.653 -1.02075
369.517 0.88625
372.382 1.2736
375.246 -1.97217
378.111 -0.120388
380.975 -0.656942
383.839 1.85959
386.704 -0.3322
389.568 1.25588
392.433 1.44312
395.297 2.68022
398.162 4.59675
401.026 3.72629
403.891 3.60153
406.755 -1.44401
409.62 -1.87114
412.484 3.37284
415.349 0.922405
418.213 4.37475e-05
421.078 2.41843
423.942 1.13967
426.807 -1.44755
429.671 0.954947
432.535 -1.00445
435.4 8.8878
438.264 0.743923
441.129 4.97344
443.993 2.55502
446.858 -3.02485
449.722 5.07992
452.587 1.38997
455.451 8.1279
458.316 3.98411
461.18 3.08693
464.045 1.77353
466.909 2.02627
469.774 6.48348
472.638 2.42068
475.503 2.81564
478.367 0.624021
481.232 0.400064
484.096 0.659405
486.961 4.28748
489.825 1.65437
492.689 2.61762
495.554 4.23621
498.418 2.9277
501.283 3.70328
504.147 1.1829
507.012 2.84457
509.876 1.55236
512.741 8.9701
515.605 -0.805674
518.47 -2.3549
521.334 0.921141
