scanname 扫描020
timestamp 1/1/1970 01:16
scancount 1
laserwavenum 850.5
measurementstate Unknown
scanmode Identification
snr 17.5782 17.5782 17.5782
replacelist 0
peaks 10
785.473 0.614069 0 2.31603 0.000558723
865.454 0.169438 0 3.98192 0.000188241
1006.61 0.672139 0 11.2171 0.00054825
1085.64 0.518834 0 2.41894 0.00019206
1257.07 0.280775 0 46.5656 0.0015169
1410.47 0.0403957 0 1.79471 6.6454e-05
1557.3 0.0263097 0 0.788211 4.68784e-05
1698.44 0.0239785 0 1.18627 5.64062e-05
2903.92 0.0273756 0 0.651251 4.40987e-05
2961.57 0.0970479 0 12.4885 0.00042101
finalresult Pure single 1A15594	0.0525238
spectrum 2048
0 5.38338
2.86447 3.32226
5.72895 -0.0440527
8.59342 -0.689372
11.4579 -1.47605
14.3224 0.985482
17.1868 -2.6592
20.0513 0.668326
22.9158 1.54616
25.7803 0.480591
28.6447 6.05385
31.5092 0.231889
34.3737 -2.56829
37.2382 -1.57991
40.1026 -0.552404
42.9671 -2.26765
45.8316 -0.95916
48.696 7.33698
51.5605 -0.533111
54.425 -2.93536
57.2895 -2.18152
60.1539 3.19498
63.0184 3.63098
65.8829 0.425242
68.7474 -2.51444
71.6118 -2.6314
74.4763 -1.93803
77.3408 1.4108
80.2053 1.63239
83.0697 1.06799
85.9342 -2.98246
88.7987 -2.22299
91.6632 2.71838
94.5276 2.02609
97.3921 -0.455296
100.257 3.265
103.121 -2.22088
105.986 -0.351803
108.85 0.751026
111.714 -1.89426
114.579 -3.08655
117.443 3.27721
120.308 -2.90287
123.172 -3.0028
126.037 -3.20322
128.901 -2.6929
131.766 3.48195
134.63 0.480446
137.495 1.03178
140.359 2.55345
143.224 -2.00904
146.088 -0.353599
148.953 -1.74364
151.817 -3.64635
154.682 -1.47508
157.546 -0.758501
160.411 -1.78748
163.275 5.72723
166.139 -1.17261
169.004 -1.1858
171.868 5.11017
174.733 1.38994
177.597 8.07082
180.462 -0.267979
183.326 -2.09429
186.191 1.59951
189.055 4.4407
191.92 -1.17066
194.784 -2.7413
197.649 4.32666
200.513 0.507088
203.378 -0.784533
206.242 -0.20606
209.107 -0.0265877
211.971 5.4266
214.836 3.21114
217.7 2.9181
220.564 0.757942
223.429 -2.41435
226.293 -4.27142
229.158 -2.84971
232.022 -0.157119
234.887 -0.00636639
237.751 -2.15347
240.616 -1.65518
243.48 3.42412
246.345 -1.67773
249.209 -3.12674
252.074 -4.69426
254.938 -3.39641
257.803 0.358063
260.667 -0.956849
263.532 3.67213
266.396 2.95175
269.26 -1.75343
272.125 -2.44296
274.989 -2.53301
277.854 5.92841
280.718 2.44962
283.583 -1.02157
286.447 -2.4465
289.312 2.49837
292.176 -1.05029
295.041 -2.6543
297.905 -3.01936
300.77 -0.799918
303.634 5.14211
306.499 6.46843
309.363 1.28153
312.228 7.27167
315.092 0.94465
317.957 1.69826
320.821 -1.53403
323.686 0.875903
326.55 -3.01424
329.414 -3.78789
332.279 -2.07233
335.143 4.55614
338.008 -3.98759
340.872 0.844595
343.737 0.998149
346.601 1.5929
349.466 -2.86518
352.33 -2.81078
355.195 1.41328
358.059 -1.68121
360.924 -0.43043
363.788 -0.163676
366.653 0.945333
369.517 0.416851
372.382 6.76051
375.246 -0.694313
378.111 4.23949
380.975 1.51226
383.839 -0.973872
386.704 -2.85582
389.568 -1.46072
392.433 -0.596131
395.297 -0.21042
398.162 -2.36858
401.026 -0.920543
403.891 2.85096
406.755 -1.82594
409.62 -5.71126
412.484 -3.91131
415.349 1.18982
418.213 1.60549
421.078 -1.27432
423.942 1.44599
426.807 -0.461133
429.671 1.5483
432.535 -1.63923
435.4 -2.4849
438.264 -2.28914
441.129 -0.306864
443.993 2.61661
446.858 -2.38379
449.722 3.10446
452.587 0.268798
455.451 -0.294603
458.316 2.31464
461.18 2.24812
464.045 -1.35835
466.909 -2.75853
469.774 2.82011
472.638 6.56832
475.503 1.76242
478.367 -1.35084
481.232 1.53557
484.096 9.07274
486.961 3.68455
489.825 -1.35801
492.689 -0.53784
495.554 3.20108
498.418 3.2164
501.283 3.14036
504.147 5.13169
507.012 -0.371027
509.876 -2.68772
512.741 -1.72508
515.605 -0.311248
518.47 -1.34031
521.334 1.79786
524.199 -1.11733
527.063 0.0956948
529.928 7.48736
532.792 2.732
535.657 2.05765
538.521 2.76928
541.385 1.62657
544.25 5.905
547.115 -1.97563
549.979 -1.86557
552.843 2.22699
555.708 0.165685
558.572 1.02113
561.437 3.73821
564.301 1.83753
567.166 1.41443
570.03 1.09617
572.895 2.539
575.759 2.00877
578.624 -1.8983
581.488 -2.69409
584.353 -1.66503
587.217 0.856889
590.082 -0.0948411
592.946 0.302239
595.81 2.25957
598.675 1.23732
601.539 -1.20502
604.404 -0.493706
607.268 -0.057677
610.133 2.20365
612.997 0.695699
615.862 1.27449
618.726 1.28444
621.591 0.404498
624.455 0.755823
627.32 1.39994
630.184 1.15543
633.049 0.98705
635.913 0.617215
638.778 0.671116
641.642 0.960807
644.507 1.10309
647.371 1.42612
650.235 1.63657
653.1 1.60925
655.964 2.0313
658.829 1.9095
661.693 2.12559
664.558 2.24286
667.422 1.93812
670.287 1.75843
673.151 2.01105
676.016 2.13018
678.88 2.09033
681.745 2.00655
684.609 2.35186
687.474 2.32094
690.338 2.11197
693.203 2.14531
696.067 2.26803
698.932 2.30175
701.796 2.26339
704.66 2.15952
707.525 2.18117
710.389 1.94592
713.254 1.73696
716.118 1.60947
718.983 1.6165
721.847 1.85277
724.712 1.77426
727.576 1.99827
730.441 2.14303
733.305 2.26618
736.17 2.37627
739.034 2.54323
741.899 2.78076
744.763 2.91632
747.628 2.99179
750.492 3.18402
753.357 3.44435
756.221 3.68213
759.086 3.83569
761.95 4.13804
764.814 4.3976
767.679 4.79989
770.543 5.2379
773.408 5.43664
776.272 5.6565
779.137 5.97435
782.001 5.93566
784.866 6.20569
787.73 6.17466
790.595 5.93825
793.459 5.7502
796.324 5.51003
799.188 5.11779
802.053 4.57166
804.917 4.16366
807.782 3.86134
810.646 3.56708
813.51 3.25142
816.375 3.00459
819.239 2.79654
822.104 2.42781
824.968 2.04262
827.833 1.75542
830.697 1.53266
833.562 1.46
836.426 1.35637
839.291 1.28902
842.155 1.27094
845.02 1.27597
847.884 1.28249
850.749 1.33186
853.613 1.42116
856.478 1.57066
859.342 1.60677
862.207 1.65158
865.071 1.70796
867.935 1.68943
870.8 1.64722
873.664 1.55862
876.529 1.46267
879.393 1.36963
882.258 1.23453
885.122 1.13427
887.987 1.05823
890.851 1.0235
893.716 0.969155
896.58 0.94226
899.445 0.932768
902.309 0.921808
905.174 0.912767
908.038 0.926145
910.903 0.938027
913.767 0.957065
916.632 0.979372
919.496 0.988672
922.36 1.04882
925.225 1.09735
928.089 1.15073
930.954 1.21156
933.818 1.29083
936.683 1.36724
939.547 1.44395
942.412 1.53417
945.276 1.63926
948.141 1.7634
951.005 1.87223
953.87 2.01123
956.734 2.16754
959.599 2.33094
962.463 2.52234
965.328 2.7124
968.192 2.90831
971.057 3.1484
973.921 3.42243
976.785 3.74539
979.65 4.06943
982.514 4.4082
985.379 4.79934
988.243 5.1819
991.108 5.51675
993.972 5.86139
996.837 6.18036
999.701 6.4374
1002.57 6.62906
1005.43 6.72725
1008.29 6.72488
1011.16 6.60652
1014.02 6.40509
1016.89 6.14083
1019.75 5.89617
1022.62 5.72925
1025.48 5.57811
1028.35 5.48606
1031.21 5.39348
1034.07 5.35707
1036.94 5.30757
1039.8 5.32485
1042.67 5.30112
1045.53 5.30809
1048.4 5.32372
1051.26 5.33451
1054.13 5.29568
1056.99 5.37236
1059.86 5.3438
1062.72 5.3386
1065.58 5.32113
1068.45 5.25597
1071.31 5.24219
1074.18 5.16114
1077.04 5.08638
1079.91 5.03419
1082.77 4.9368
1085.64 4.77453
1088.5 4.52581
1091.36 4.33159
1094.23 4.11949
1097.09 3.84649
1099.96 3.56823
1102.82 3.31067
1105.69 3.07324
1108.55 2.88145
1111.42 2.67407
1114.28 2.49982
1117.14 2.36456
1120.01 2.278
1122.87 2.16137
1125.74 2.09394
1128.6 2.05199
1131.47 2.01259
1134.33 1.92789
1137.2 1.89715
1140.06 1.88314
1142.92 1.85426
1145.79 1.79304
1148.65 1.76899
1151.52 1.76931
1154.38 1.76076
1157.25 1.70908
1160.11 1.69409
1162.98 1.6775
1165.84 1.65559
1168.71 1.64783
1171.57 1.64398
1174.43 1.60191
1177.3 1.5875
1180.16 1.53852
1183.03 1.51742
1185.89 1.53008
1188.76 1.50183
1191.62 1.484
1194.49 1.4503
1197.35 1.44478
1200.21 1.42457
1203.08 1.40127
1205.94 1.40577
1208.81 1.40064
1211.67 1.37169
1214.54 1.34563
1217.4 1.32619
1220.27 1.31133
1223.13 1.31051
1225.99 1.23868
1228.86 1.23939
1231.72 1.17731
1234.59 1.14886
1237.45 1.14554
1240.32 1.16603
1243.18 1.20775
1246.05 1.27936
1248.91 1.47345
1251.78 1.93581
1254.64 2.79091
1257.5 3.33323
1260.37 2.85731
1263.23 1.97876
1266.1 1.25174
1268.96 0.842116
1271.83 0.610038
1274.69 0.50155
1277.56 0.43331
1280.42 0.380397
1283.28 0.340604
1286.15 0.328537
1289.01 0.324468
1291.88 0.297594
1294.74 0.279376
1297.61 0.280076
1300.47 0.275591
1303.34 0.262237
