x                   	y                   
-------------------------------
43.231              	1521.792            
44.289              	1967.583            
46.206              	52236.6             
47.924              	719.3687            
49.18               	8605.817            
50.238              	100057.8            
51.163              	240165.9            
52.154              	12642.25            
53.145              	3078.009            
54.004              	362.7357            
55.062              	1505.582            
56.185              	962.5273            
57.242              	2842.955            
60.281              	1570.424            
61.139              	5209.701            
62.13               	7422.445            
63.187              	15989.74            
64.178              	6919.917            
65.169              	122242              
66.159              	7268.445            
67.216              	695.0527            
68.405              	849.0533            
69.197              	1416.424            
71.112              	889.5798            
73.159              	11077.93            
74.149              	34380.64            
75.139              	18583.43            
76.196              	21347.34            
77.12               	370215.3            
78.11               	26680.62            
79.166              	1270.529            
80.156              	711.2632            
81.08               	703.1581            
82.202              	881.4744            
86.624              	305.9988            
88.01               	216.8405            
89                  	3013.166            
90.121              	297.8935            
91.111              	54959.98            
92.101              	5298.858            
93.024              	175890.9            
94.08               	12455.83            
95.003              	1554.214            
96.125              	589.684             
99.027              	443.7888            
101.204             	613.9998            
103.116             	241.1564            
104.106             	5671.702            
105.029             	2915.903            
106.084             	1513.687            
107.007             	230463.9            
107.996             	26842.72            
108.985             	2218.848            
109.908             	565.3681            
111.029             	1140.844            
112.018             	1132.739            
112.875             	281.6829            
114.985             	3321.167            
116.04              	6628.127            
117.094             	3718.326            
119.204             	978.738             
119.929             	1230.002            
120.983             	1108.423            
122.895             	330021.2            
123.949             	102059.8            
124.938             	6919.917            
125.926             	751.7899            
126.98              	978.738             
127.969             	5460.964            
129.023             	2875.376            
130.012             	1878.425            
131.066             	565.3681            
134.228             	305.9988            
138.906             	224.9459            
139.828             	2818.639            
142.002             	1465.055            
142.924             	2162.111            
145.032             	597.7893            
148.325             	451.894             
148.72              	1205.686            
150.037             	338.42              
150.893             	532.9469            
151.946             	1619.056            
152.934             	832.8428            
153.988             	7414.339            
154.975             	3240.114            
156.029             	27977.46            
157.017             	3029.377            
161.23              	362.7357            
165.97              	233.0511            
168.998             	1764.951            
170.907             	1627.161            
174.395             	305.9988            
177.949             	451.894             
182.95              	2437.69             
195.385             	484.3152            
196.043             	1067.896            
199.726             	1756.846            
200.516             	532.9469            
209.263             	249.2617            
215.971             	176.3141            
217.681             	305.9988            
220.443             	257.367             
221.101             	192.5247            
222.942             	135.7876            
225.703             	224.9459            
229.911             	338.42              
230.963             	776.1056            
239.773             	281.6829            
265.145             	557.2628            
265.868             	200.63              
269.022             	265.4723            
272.834             	224.9459            
278.289             	378.9464            
282.1               	297.8935            
284.138             	549.1575            
287.883             	370.8411            
291.563             	192.5247            
307.992             	387.0517            
308.518             	646.421             
312.198             	411.3676            
316.995             	711.2632            
322.383             	362.7357            
324.552             	111.4718            
326.129             	119.5771            
327.312             	532.9469            
330.072             	168.2088            
332.043             	257.367             
343.478             	362.7357            
345.187             	216.8405            
361.093             	95.26115            
361.619             	119.5771            
370.558             	192.5247            
374.108             	176.3141            
377.79              	459.9993            
390.939             	160.1035            
