[Header]
Data File Name	D:\助燃剂标准品检验\92#汽油\百分一92#汽-乙.qgd
Output Date	2018/4/17
Output Time	17:25:25

[MS Chromatogram]
m/z	1-1 83.00
Event Time(msec)	200
# of Points	9750
Start Time(min)	2.500
End Time(min)	34.997
Ret.Time	Absolute Intensity	Relative Intensity
2.500	19793	2.42
2.503	191	0.02
2.507	194	0.02
2.510	194	0.02
2.513	199	0.02
2.517	204	0.02
2.520	204	0.02
2.523	204	0.02
2.527	209	0.03
2.530	215	0.03
2.533	219	0.03
2.537	221	0.03
2.540	220	0.03
2.543	220	0.03
2.547	221	0.03
2.550	222	0.03
2.553	226	0.03
2.557	228	0.03
2.560	226	0.03
2.563	224	0.03
2.567	226	0.03
2.570	226	0.03
2.573	226	0.03
2.577	227	0.03
2.580	227	0.03
2.583	228	0.03
2.587	232	0.03
2.590	241	0.03
2.593	254	0.03
2.597	284	0.03
2.600	379	0.05
2.603	825	0.10
2.607	2483	0.30
2.610	4502	0.55
2.613	7021	0.86
2.617	10572	1.29
2.620	15272	1.87
2.623	20588	2.52
2.627	26635	3.26
2.630	32761	4.01
2.633	38640	4.72
2.637	44370	5.43
2.640	49201	6.02
2.643	53106	6.49
2.647	57381	7.02
2.650	63714	7.79
2.653	74317	9.09
2.657	92090	11.26
2.660	119406	14.60
2.663	157541	19.26
2.667	210119	25.69
2.670	281753	34.45
2.673	366762	44.85
2.677	461625	56.45
2.680	563791	68.94
2.683	655769	80.19
2.687	730564	89.33
2.690	787233	96.26
2.693	817798	100.00
2.697	814785	99.63
2.700	773505	94.58
2.703	707348	86.49
2.707	622270	76.09
2.710	516087	63.11
2.713	406342	49.69
2.717	307945	37.66
2.720	224070	27.40
2.723	157482	19.26
2.727	108130	13.22
2.730	73730	9.02
2.733	51271	6.27
2.737	37393	4.57
2.740	28470	3.48
2.743	22916	2.80
2.747	19680	2.41
2.750	17586	2.15
2.753	15642	1.91
2.757	14446	1.77
2.760	13459	1.65
2.763	12357	1.51
2.767	11733	1.43
2.770	11277	1.38
2.773	10617	1.30
2.777	9825	1.20
2.780	9255	1.13
2.783	8806	1.08
2.787	8476	1.04
2.790	8166	1.00
2.793	7848	0.96
2.797	7612	0.93
2.800	7053	0.86
2.803	6442	0.79
2.807	6105	0.75
2.810	5753	0.70
2.813	5599	0.68
2.817	5602	0.69
2.820	5492	0.67
2.823	5382	0.66
2.827	5356	0.65
2.830	5281	0.65
2.833	5157	0.63
2.837	4989	0.61
2.840	4823	0.59
2.843	4686	0.57
2.847	4509	0.55
2.850	4166	0.51
2.853	3634	0.44
2.857	3059	0.37
2.860	2729	0.33
2.863	2570	0.31
2.867	2437	0.30
2.870	2310	0.28
2.873	2172	0.27
2.877	2078	0.25
2.880	2011	0.25
2.883	1941	0.24
2.887	1930	0.24
2.890	1997	0.24
2.893	2133	0.26
2.897	2392	0.29
2.900	3048	0.37
2.903	4662	0.57
2.907	6161	0.75
2.910	9136	1.12
2.913	13137	1.61
2.917	17434	2.13
2.920	22604	2.76
2.923	27208	3.33
2.927	31347	3.83
2.930	35468	4.34
2.933	39088	4.78
2.937	40218	4.92
2.940	39525	4.83
2.943	36717	4.49
2.947	33910	4.15
2.950	29997	3.67
2.953	25136	3.07
2.957	20762	2.54
2.960	17164	2.10
2.963	13326	1.63
2.967	10648	1.30
2.970	9028	1.10
2.973	7896	0.97
2.977	6564	0.80
2.980	6017	0.74
2.983	5846	0.71
2.987	5762	0.70
2.990	5689	0.70
2.993	5658	0.69
2.997	5691	0.70
3.000	5709	0.70
3.003	5598	0.68
3.007	5423	0.66
3.010	5182	0.63
3.013	4735	0.58
3.017	4067	0.50
3.020	3357	0.41
3.023	2773	0.34
