[Header]
Data File Name	D:\助燃剂标准品检验\92#汽油\百分一92#汽-乙.qgd
Output Date	2018/4/17
Output Time	17:05:48

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	200
# of Points	9750
Start Time(min)	2.500
End Time(min)	34.997
Ret.Time	Absolute Intensity	Relative Intensity
2.500	1565957	9.84
2.503	595883	3.75
2.507	12068	0.08
2.510	10049	0.06
2.513	33447	0.21
2.517	76614	0.48
2.520	93296	0.59
2.523	114918	0.72
2.527	170473	1.07
2.530	219168	1.38
2.533	251835	1.58
2.537	279963	1.76
2.540	299936	1.89
2.543	307902	1.94
2.547	304541	1.91
2.550	291335	1.83
2.553	268182	1.69
2.557	237431	1.49
2.560	203073	1.28
2.563	170456	1.07
2.567	140429	0.88
2.570	113098	0.71
2.573	91817	0.58
2.577	76525	0.48
2.580	66555	0.42
2.583	59771	0.38
2.587	57955	0.36
2.590	58090	0.37
2.593	60733	0.38
2.597	66765	0.42
2.600	76341	0.48
2.603	91976	0.58
2.607	120387	0.76
2.610	161978	1.02
2.613	222104	1.40
2.617	308263	1.94
2.620	419019	2.63
2.623	547371	3.44
2.627	692443	4.35
2.630	846047	5.32
2.633	988142	6.21
2.637	1105936	6.95
2.640	1192255	7.49
2.643	1237012	7.77
2.647	1241736	7.80
2.650	1221884	7.68
2.653	1192229	7.49
2.657	1176587	7.39
2.660	1200722	7.55
2.663	1279563	8.04
2.667	1431118	8.99
2.670	1669272	10.49
2.673	1985580	12.48
2.677	2361916	14.84
2.680	2763491	17.37
2.683	3139581	19.73
2.687	3452680	21.70
2.690	3670195	23.07
2.693	3779920	23.76
2.697	3766613	23.67
2.700	3596607	22.61
2.703	3297617	20.73
2.707	2905183	18.26
2.710	2437864	15.32
2.713	1957625	12.30
2.717	1513759	9.51
2.720	1128582	7.09
2.723	821054	5.16
2.727	592760	3.73
2.730	430797	2.71
2.733	320336	2.01
2.737	248065	1.56
2.740	202673	1.27
2.743	174786	1.10
2.747	160694	1.01
2.750	158080	0.99
2.753	166930	1.05
2.757	191755	1.21
2.760	234339	1.47
2.763	295233	1.86
2.767	376460	2.37
2.770	477715	3.00
2.773	592795	3.73
2.777	715346	4.50
2.780	837091	5.26
2.783	945565	5.94
2.787	1023973	6.44
2.790	1060781	6.67
2.793	1059048	6.66
2.797	1025496	6.45
2.800	965554	6.07
2.803	890305	5.60
2.807	814247	5.12
2.810	753240	4.73
2.813	726449	4.57
2.817	744330	4.68
2.820	807305	5.07
2.823	908012	5.71
2.827	1037198	6.52
2.830	1182060	7.43
2.833	1310023	8.23
2.837	1399170	8.79
2.840	1449906	9.11
2.843	1449799	9.11
2.847	1389522	8.73
2.850	1279180	8.04
2.853	1129718	7.10
2.857	959071	6.03
2.860	786977	4.95
2.863	624653	3.93
2.867	477829	3.00
2.870	355452	2.23
2.873	263087	1.65
2.877	197738	1.24
2.880	153581	0.97
2.883	127282	0.80
2.887	116238	0.73
2.890	116560	0.73
