x                   	y                   
-------------------------------
44.914              	1303.156            
46.415              	17875.28            
48.374              	2165.85             
49.091              	770.0307            
49.94               	1109.292            
51.245              	1235.304            
52.224              	711.8716            
52.877              	1293.463            
54.9                	6876.741            
55.748              	1429.168            
56.792              	38402.23            
57.771              	25594.29            
58.685              	104083.3            
59.664              	4362.974            
61.295              	369.3788            
62.469              	614.9397            
63.578              	543.8563            
65.079              	524.4698            
65.796              	576.1669            
67.166              	634.326             
68.666              	1060.827            
69.906              	550.3184            
70.819              	556.7806            
71.602              	608.4775            
72.71               	22146.75            
73.624              	36899.79            
74.537              	94325.48            
75.515              	3713.53             
76.558              	624.6329            
77.602              	49.50354            
78.515              	185.2082            
80.536              	181.9772            
82.688              	285.3712            
83.601              	156.1286            
84.644              	320.9129            
86.013              	298.2955            
87.251              	65.65886            
88.555              	2169.082            
90.576              	9251.573            
92.532              	130.2801            
93.574              	120.5869            
94.617              	178.7461            
96.572              	333.8371            
98.397              	159.3597            
100.483             	1371.009            
101.59              	408.1516            
105.239             	78.58312            
106.738             	152.8976            
108.953             	107.6627            
110.842             	236.9052            
111.689             	152.8976            
112.601             	337.0682            
114.685             	85.04523            
116.444             	2569.733            
117.616             	191.6703            
122.435             	120.5869            
123.542             	117.3559            
124.649             	110.8937            
131.29              	46.27245            
139.491             	20.42397            
139.882             	114.1248            
148.732             	143.2044            
151.659             	146.4354            
155.498             	120.5869            
159.4               	165.8218            
160.506             	272.4469            
165.774             	23.65503            
174.226             	181.9772            
189.825             	91.50734            
211.001             	136.7423            
224.958             	139.9733            
246.824             	240.1363            
250.91              	39.81034            
254.282             	55.96565            
254.865             	75.35203            
268.544             	91.50734            
271.007             	49.50354            
276.191             	62.42776            
282.606             	94.73843            
318.993             	49.50354            
325.658             	78.58312            
336.524             	65.65886            
